datetime,acceleration_x_smoothed,acceleration_y_smoothed,acceleration_z_smoothed,activity,wrist,activity_label
2017-06-30 13:51:14,0.42211190476190513,-0.9688190476190485,-0.1266047619047617,0.0,0.0,walk
2017-06-30 13:51:16,0.45508650793650823,-1.0185671957671962,-0.028394179894179875,0.0,0.0,walk
2017-06-30 13:51:18,0.4294857142857145,-1.0066071428571433,-0.08685142857142861,0.0,0.0,walk
2017-06-30 13:51:20,0.48839619047619065,-0.985446666666667,-0.1546685714285715,0.0,0.0,walk
2017-06-30 13:51:22,0.4605190476190478,-1.0022595238095242,-0.10150952380952386,0.0,0.0,walk
2017-06-30 13:51:24,0.4558714285714287,-1.0073961904761908,-0.053130476190476214,0.0,0.0,walk
2017-06-30 13:51:26,0.4651238095238097,-0.914255555555556,-0.09281746031746035,0.0,0.0,walk
2017-06-30 13:51:34,0.4369000000000002,-1.0181925170068031,-0.10415306122448985,0.0,0.0,walk
2017-06-30 13:51:36,0.47638047619047635,-0.993751428571429,-0.1144780952380953,0.0,0.0,walk
2017-06-30 13:51:38,0.44645428571428586,-0.9833819047619052,-0.12170571428571433,0.0,0.0,walk
2017-06-30 13:51:40,0.4111966666666668,-1.0016442857142862,-0.11673809523809528,0.0,0.0,walk
2017-06-30 13:51:42,0.399307142857143,-0.9487147619047624,-0.08948380952380955,0.0,0.0,walk
2017-06-30 13:51:44,0.451174829931973,-1.0059646258503405,-0.08062176870748303,0.0,0.0,walk
2017-06-30 13:51:54,0.4563265306122451,-1.0301074829931978,-0.10006938775510209,0.0,0.0,walk
2017-06-30 13:51:56,0.4454738095238097,-0.9777300000000004,-0.10734380952380958,0.0,0.0,walk
2017-06-30 13:51:58,0.4404761904761907,-1.0318385714285718,-0.07554952380952384,0.0,0.0,walk
2017-06-30 13:52:00,0.4202366666666668,-0.9879576190476195,-0.05539095238095241,0.0,0.0,walk
2017-06-30 13:52:02,0.42210380952380966,-0.928339047619048,-0.09265761904761909,0.0,0.0,walk
2017-06-30 13:52:04,0.3952068027210886,-0.9384897959183677,-0.08991632653061228,0.0,0.0,walk
2017-06-30 13:52:14,0.42717210884353757,-0.9730414965986398,-0.08227755102040821,0.0,0.0,walk
2017-06-30 13:52:16,0.44158714285714307,-0.9659842857142861,-0.09918000000000005,0.0,0.0,walk
2017-06-30 13:52:18,0.4431666666666668,-1.01224380952381,-0.10937666666666672,0.0,0.0,walk
2017-06-30 13:52:20,0.4447580952380954,-0.9794200000000004,-0.11030000000000004,0.0,0.0,walk
2017-06-30 13:52:22,0.4709909523809526,-0.9608590476190481,-0.08204000000000003,0.0,0.0,walk
2017-06-30 13:52:24,0.44557959183673485,-0.9526993197278916,-0.04637755102040819,0.0,0.0,walk
2017-06-30 13:52:32,0.4602142857142859,-1.031371428571429,-0.05740000000000002,0.0,0.0,walk
2017-06-30 13:52:34,0.4551238095238097,-0.9800957142857147,-0.0483809523809524,0.0,0.0,walk
2017-06-30 13:52:36,0.4558038095238097,-0.999229047619048,-0.051961904761904786,0.0,0.0,walk
2017-06-30 13:52:38,0.4518300000000002,-1.01362380952381,-0.09782000000000005,0.0,0.0,walk
2017-06-30 13:52:40,0.43037380952380977,-0.9244338095238099,-0.10400619047619053,0.0,0.0,walk
2017-06-30 13:52:42,0.46025285714285735,-0.9450157142857147,-0.09052761904761908,0.0,0.0,walk
2017-06-30 13:52:44,0.453125396825397,-0.9369317460317464,-0.11701111111111114,0.0,0.0,walk
2017-06-30 13:52:52,0.5148142857142859,-1.078776190476191,-0.059504761904761935,0.0,0.0,walk
2017-06-30 13:52:54,0.47903428571428586,-0.9693819047619051,-0.09294047619047623,0.0,0.0,walk
2017-06-30 13:52:56,0.43797095238095257,-0.9687252380952385,-0.10364285714285719,0.0,0.0,walk
2017-06-30 13:52:58,0.43051238095238115,-0.9364947619047623,-0.09702952380952384,0.0,0.0,walk
2017-06-30 13:53:00,0.4451780952380954,-0.9659842857142861,-0.08355333333333337,0.0,0.0,walk
2017-06-30 13:53:02,0.4064576190476192,-0.9489704761904765,-0.08536952380952385,0.0,0.0,walk
2017-06-30 13:53:04,0.42668253968253983,-1.034971428571429,-0.009585714285714296,0.0,0.0,walk
2017-06-30 13:53:12,0.4275152380952383,-1.0107142857142861,-0.09775142857142861,0.0,0.0,walk
2017-06-30 13:53:14,0.43289904761904785,-1.004246190476191,-0.09723619047619052,0.0,0.0,walk
2017-06-30 13:53:16,0.4219176190476192,-0.9763000000000004,-0.09576904761904766,0.0,0.0,walk
2017-06-30 13:53:18,0.41607285714285724,-0.9700833333333337,-0.13310714285714292,0.0,0.0,walk
2017-06-30 13:53:20,0.389247142857143,-0.9544066666666671,-0.0970219047619048,0.0,0.0,walk
2017-06-30 13:53:22,0.41485555555555576,-1.0012936507936512,-0.10012328042328046,0.0,0.0,walk
2017-06-30 13:53:30,0.4461642857142859,-1.0667738095238102,-0.051480952380952405,0.0,0.0,walk
2017-06-30 13:53:32,0.45982904761904786,-1.0058428571428577,-0.0996671428571429,0.0,0.0,walk
2017-06-30 13:53:34,0.44639047619047634,-0.9846357142857147,-0.11428285714285717,0.0,0.0,walk
2017-06-30 13:53:36,0.4010304761904764,-0.9604404761904766,-0.0786166666666667,0.0,0.0,walk
2017-06-30 13:53:38,0.43580714285714306,-0.9701200000000003,-0.07716666666666669,0.0,0.0,walk
2017-06-30 13:53:40,0.44871428571428595,-1.0245866666666672,-0.07532523809523813,0.0,0.0,walk
2017-06-30 13:53:42,0.46262142857142874,-1.0087476190476194,-0.1128619047619048,0.0,0.0,walk
2017-06-30 13:53:50,0.40717678571428584,-0.9770101190476195,-0.06617976190476194,0.0,0.0,walk
2017-06-30 13:53:52,0.42104095238095257,-0.9851742857142861,-0.0997619047619048,0.0,0.0,walk
